#query	mnx_id	reference	xrefs	name
ATPM	MNXR153054	rheaR:13065	bigg.reaction:ATPM ... bigg.reaction:ATPM_h ... bigg.reaction:ATPPHm ... bigg.reaction:NTP1 ... bigg.reaction:R_ATPM ... bigg.reaction:R_ATPM_h ... bigg.reaction:R_ATPPHm ... bigg.reaction:R_NTP1 ... biggR:ATPM ... biggR:ATPM_h ... biggR:ATPPHm ... biggR:NTP1 ... biggR:R_ATPM ... biggR:R_ATPM_h ... biggR:R_ATPPHm ... biggR:R_NTP1 ... deprecated:MNXR96131 ... kegg.reaction:R00086 ... keggR:R00086 ... metacyc.reaction:ATPASE-RXN ... metacycR:ATPASE-RXN ... rhea:13065 ... rhea:13066 ... rhea:13067 ... rhea:13068 ... rheaR:13065 ... rheaR:13066 ... rheaR:13067 ... rheaR:13068 ... sabiork.reaction:75 ... sabiorkR:75 ... seed.reaction:rxn00062 ... seed.reaction:rxn11300 ... seed.reaction:rxn27586 ... seed.reaction:rxn27587 ... seed.reaction:rxn27588 ... seed.reaction:rxn27616 ... seed.reaction:rxn38021 ... seed.reaction:rxn38022 ... seed.reaction:rxn38023 ... seed.reaction:rxn38233 ... seedR:rxn00062 ... seedR:rxn11300 ... seedR:rxn27586 ... seedR:rxn27587 ... seedR:rxn27588 ... seedR:rxn27616 ... seedR:rxn38021 ... seedR:rxn38022 ... seedR:rxn38023 ... seedR:rxn38233	1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM3@MNXD1 + 1 WATER@MNXD1
ATPS4r	MNXR153059	seedR:rxn08173	bigg.reaction:ATPS4m ... bigg.reaction:ATPS4m_cho ... bigg.reaction:ATPS4mi ... bigg.reaction:ATPS4r ... bigg.reaction:ATPS4rpp ... bigg.reaction:ATPasel ... bigg.reaction:R_ATPS4m ... bigg.reaction:R_ATPS4m_cho ... bigg.reaction:R_ATPS4mi ... bigg.reaction:R_ATPS4r ... bigg.reaction:R_ATPS4rpp ... bigg.reaction:R_ATPasel ... biggR:ATPS4m ... biggR:ATPS4m_cho ... biggR:ATPS4mi ... biggR:ATPS4r ... biggR:ATPS4rpp ... biggR:ATPasel ... biggR:R_ATPS4m ... biggR:R_ATPS4m_cho ... biggR:R_ATPS4mi ... biggR:R_ATPS4r ... biggR:R_ATPS4rpp ... biggR:R_ATPasel ... deprecated:MNXR96136 ... metacyc.reaction:ATPSYN-RXN ... metacycR:ATPSYN-RXN ... seed.reaction:rxn08173 ... seed.reaction:rxn10042 ... seed.reaction:rxn27727 ... seed.reaction:rxn38049 ... seed.reaction:rxn38050 ... seed.reaction:rxn38051 ... seedR:rxn08173 ... seedR:rxn10042 ... seedR:rxn27727 ... seedR:rxn38049 ... seedR:rxn38050 ... seedR:rxn38051	4 MNXM01@MNXD1 + 1 MNXM1@MNXD2 + 1 MNXM40333@MNXD2 + 1 MNXM9@MNXD2 = 4 MNXM01@MNXD2 + 1 MNXM3@MNXD2 + 1 WATER@MNXD2
Ecoli_core_w_GAM				
CO2t	MNXR96810	seedR:rxn05467	bigg.reaction:CO2t ... bigg.reaction:CO2ter ... bigg.reaction:CO2tex ... bigg.reaction:CO2tg ... bigg.reaction:CO2th ... bigg.reaction:CO2tm ... bigg.reaction:CO2tn ... bigg.reaction:CO2tp ... bigg.reaction:CO2tpp ... bigg.reaction:CO2tv ... bigg.reaction:EX_co2_e ... bigg.reaction:R_CO2t ... bigg.reaction:R_CO2ter ... bigg.reaction:R_CO2tex ... bigg.reaction:R_CO2tg ... bigg.reaction:R_CO2th ... bigg.reaction:R_CO2tm ... bigg.reaction:R_CO2tn ... bigg.reaction:R_CO2tp ... bigg.reaction:R_CO2tpp ... bigg.reaction:R_CO2tv ... bigg.reaction:R_EX_co2_e ... biggR:CO2t ... biggR:CO2ter ... biggR:CO2tex ... biggR:CO2tg ... biggR:CO2th ... biggR:CO2tm ... biggR:CO2tn ... biggR:CO2tp ... biggR:CO2tpp ... biggR:CO2tv ... biggR:EX_co2_e ... biggR:R_CO2t ... biggR:R_CO2ter ... biggR:R_CO2tex ... biggR:R_CO2tg ... biggR:R_CO2th ... biggR:R_CO2tm ... biggR:R_CO2tn ... biggR:R_CO2tp ... biggR:R_CO2tpp ... biggR:R_CO2tv ... biggR:R_EX_co2_e ... deprecated:MNXR1225 ... deprecated:MNXR98353 ... metacyc.reaction:TRANS-RXN0-545 ... metacycR:TRANS-RXN0-545 ... seed.reaction:rxn05467 ... seed.reaction:rxn08237 ... seed.reaction:rxn08238 ... seed.reaction:rxn09706 ... seed.reaction:rxn09775 ... seed.reaction:rxn09821 ... seed.reaction:rxn09860 ... seed.reaction:rxn09876 ... seed.reaction:rxn31163 ... seed.reaction:rxn33396 ... seedR:rxn05467 ... seedR:rxn08237 ... seedR:rxn08238 ... seedR:rxn09706 ... seedR:rxn09775 ... seedR:rxn09821 ... seedR:rxn09860 ... seedR:rxn09876 ... seedR:rxn31163 ... seedR:rxn33396	1 MNXM13@MNXD1 = 1 MNXM13@MNXD2
CS	MNXR190844	rheaR:16845	bigg.reaction:CS ... bigg.reaction:CSm ... bigg.reaction:CSp ... bigg.reaction:R_CS ... bigg.reaction:R_CSm ... bigg.reaction:R_CSp ... biggR:CS ... biggR:CSm ... biggR:CSp ... biggR:R_CS ... biggR:R_CSm ... biggR:R_CSp ... deprecated:MNXR190845 ... deprecated:MNXR96920 ... kegg.reaction:R00351 ... keggR:R00351 ... metacyc.reaction:CITSYN-RXN ... metacyc.reaction:RXN-14905 ... metacycR:CITSYN-RXN ... metacycR:RXN-14905 ... rhea:16845 ... rhea:16846 ... rhea:16847 ... rhea:16848 ... rheaR:16845 ... rheaR:16846 ... rheaR:16847 ... rheaR:16848 ... sabiork.reaction:267 ... sabiorkR:267 ... seed.reaction:rxn00256 ... seed.reaction:rxn19316 ... seed.reaction:rxn27765 ... seed.reaction:rxn32388 ... seed.reaction:rxn34204 ... seedR:rxn00256 ... seedR:rxn19316 ... seedR:rxn27765 ... seedR:rxn32388 ... seedR:rxn34204	1 MNXM1104266@MNXD1 + 1 MNXM46@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1107753@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM727276@MNXD1
CYTBD	MNXR97031	seedR:rxn08288	bigg.reaction:CYTBD ... bigg.reaction:CYTBDpp ... bigg.reaction:R_CYTBD ... bigg.reaction:R_CYTBDpp ... biggR:CYTBD ... biggR:CYTBDpp ... biggR:R_CYTBD ... biggR:R_CYTBDpp ... deprecated:MNXR55177 ... deprecated:MNXR67303 ... deprecated:MNXR80841 ... seed.reaction:rxn08288 ... seed.reaction:rxn10112 ... seed.reaction:rxn12494 ... seed.reaction:rxn38529 ... seedR:rxn08288 ... seedR:rxn10112 ... seedR:rxn12494 ... seedR:rxn38529	4 MNXM01@MNXD1 + 2 MNXM191@MNXD1 + 1 MNXM735438@MNXD1 = 4 MNXM01@MNXD2 + 2 MNXM232@MNXD1 + 2 WATER@MNXD1
D_LACt2	MNXR97838	seedR:rxn08350	bigg.reaction:D_LACt2 ... bigg.reaction:D_LACt2pp ... bigg.reaction:D_LACtm ... bigg.reaction:R_D_LACt2 ... bigg.reaction:R_D_LACt2pp ... bigg.reaction:R_D_LACtm ... biggR:D_LACt2 ... biggR:D_LACt2pp ... biggR:D_LACtm ... biggR:R_D_LACt2 ... biggR:R_D_LACt2pp ... biggR:R_D_LACtm ... metacyc.reaction:TRANS-RXN0-515 ... metacycR:TRANS-RXN0-515 ... seed.reaction:rxn08350 ... seed.reaction:rxn09772 ... seed.reaction:rxn10171 ... seedR:rxn08350 ... seedR:rxn09772 ... seedR:rxn10171	1 MNXM01@MNXD1 + 1 MNXM731834@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM731834@MNXD2
ENO	MNXR97932	rheaR:10164	bigg.reaction:ENO ... bigg.reaction:ENO_h ... bigg.reaction:ENOf ... bigg.reaction:ENOm ... bigg.reaction:R_ENO ... bigg.reaction:R_ENO_h ... bigg.reaction:R_ENOf ... bigg.reaction:R_ENOm ... biggR:ENO ... biggR:ENO_h ... biggR:ENOf ... biggR:ENOm ... biggR:R_ENO ... biggR:R_ENO_h ... biggR:R_ENOf ... biggR:R_ENOm ... deprecated:MNXR1898 ... kegg.reaction:R00658 ... keggR:R00658 ... metacyc.reaction:2PGADEHYDRAT-RXN ... metacycR:2PGADEHYDRAT-RXN ... rhea:10164 ... rhea:10165 ... rhea:10166 ... rhea:10167 ... rheaR:10164 ... rheaR:10165 ... rheaR:10166 ... rheaR:10167 ... sabiork.reaction:8 ... sabiorkR:8 ... seed.reaction:rxn00459 ... seed.reaction:rxn17748 ... seed.reaction:rxn30576 ... seed.reaction:rxn33498 ... seed.reaction:rxn35218 ... seed.reaction:rxn37952 ... seed.reaction:rxn37953 ... seedR:rxn00459 ... seedR:rxn17748 ... seedR:rxn30576 ... seedR:rxn33498 ... seedR:rxn35218 ... seedR:rxn37952 ... seedR:rxn37953	1 MNXM275@MNXD1 = 1 MNXM73@MNXD1 + 1 WATER@MNXD1
ETOHt2r	MNXR97981	seedR:rxn08427	bigg.reaction:ETOHt2r ... bigg.reaction:ETOHt2rpp ... bigg.reaction:R_ETOHt2r ... bigg.reaction:R_ETOHt2rpp ... biggR:ETOHt2r ... biggR:ETOHt2rpp ... biggR:R_ETOHt2r ... biggR:R_ETOHt2rpp ... deprecated:MNXR1931 ... seed.reaction:rxn08427 ... seed.reaction:rxn10146 ... seedR:rxn08427 ... seedR:rxn10146	1 MNXM01@MNXD1 + 1 MNXM1108092@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM1108092@MNXD2
ac				
